  0.961898   0.033211   0.004891
  0.939637   0.054478   0.005884
  0.936017   0.056212   0.007771
  0.937563   0.052850   0.009587
  0.949253   0.039118   0.011629
  0.945705   0.038930   0.015365
  0.918958   0.057402   0.023639
  0.973775   0.018530   0.007695
  0.897230   0.081655   0.021115
  0.956013   0.032718   0.011269
  0.958828   0.028670   0.012502
  0.859362   0.107313   0.033325
  0.963379   0.029940   0.006681
  0.828184   0.157809   0.014007
  0.920388   0.070350   0.009262
  0.859797   0.121407   0.018797
  0.891015   0.071233   0.037752
  0.890900   0.074146   0.034955
  0.847420   0.135110   0.017470
  0.962015   0.033206   0.004778
  0.923547   0.069872   0.006581
  0.968361   0.027204   0.004434
  0.934862   0.052703   0.012434
  0.944894   0.034542   0.020564
  0.961700   0.019877   0.018422
  0.931112   0.033838   0.035050
  0.964217   0.018128   0.017655
  0.951768   0.028942   0.019289
  0.914110   0.067404   0.018486
  0.951118   0.044769   0.004113
  0.954224   0.043878   0.001898
  0.962343   0.036397   0.001260
  0.949289   0.049554   0.001156
  0.979620   0.019619   0.000761
  0.965402   0.033123   0.001475
  0.934139   0.061163   0.004698
  0.960046   0.024493   0.015461
  0.941241   0.034880   0.023879
  0.933993   0.059549   0.006458
  0.961198   0.034936   0.003866
  0.883978   0.107517   0.008505
  0.951705   0.038229   0.010065
  0.922526   0.059115   0.018359
  0.907752   0.070640   0.021608
  0.941436   0.046553   0.012011
  0.955571   0.033937   0.010492
  0.957316   0.033867   0.008818
  0.954550   0.038488   0.006963
  0.965241   0.027872   0.006887
  0.943499   0.041506   0.014995
  0.954834   0.032928   0.012237
  0.950430   0.029613   0.019957
  0.948197   0.023669   0.028134
  0.938824   0.027274   0.033903
  0.946564   0.024603   0.028833
  0.933357   0.034133   0.032510
  0.900075   0.053109   0.046816
  0.962506   0.019776   0.017718
  0.906525   0.049042   0.044433
  0.913702   0.047079   0.039219
  0.958816   0.025726   0.015459
  0.787771   0.159278   0.052952
  0.977404   0.014544   0.008052
  0.969574   0.018085   0.012341
  0.785732   0.125744   0.088524
  0.971199   0.013551   0.015250
  0.933315   0.028904   0.037780
  0.853537   0.071738   0.074725
  0.968654   0.017644   0.013702
  0.917459   0.054206   0.028335
  0.929930   0.042993   0.027077
  0.952725   0.024347   0.022928
  0.866593   0.062707   0.070699
  0.905948   0.040918   0.053134
  0.897690   0.042949   0.059361
  0.922355   0.036550   0.041094
  0.892407   0.053963   0.053629
  0.917928   0.041540   0.040532
  0.931295   0.035517   0.033187
  0.934299   0.038809   0.026892
  0.929340   0.052245   0.018416
  0.914161   0.075185   0.010655
  0.912959   0.079601   0.007441
  0.956011   0.039816   0.004172
  0.933390   0.060448   0.006162
  0.947082   0.041697   0.011221
  0.933461   0.036705   0.029835
  0.947830   0.043684   0.008485
  0.930724   0.065618   0.003658
  0.926346   0.069925   0.003729
  0.900879   0.090473   0.008648
  0.879697   0.083249   0.037053
  0.916165   0.055857   0.027979
  0.879574   0.103589   0.016838
  0.907585   0.081688   0.010727
  0.893103   0.094156   0.012742
  0.933967   0.055471   0.010562
  0.894223   0.087129   0.018648
  0.944306   0.038180   0.017515
  0.933423   0.042894   0.023683
