  0.006606   0.080701   0.912693
  0.004933   0.054957   0.940110
  0.001873   0.032761   0.965365
  0.000726   0.071956   0.927318
  0.000326   0.040273   0.959401
  0.000215   0.027286   0.972500
  0.000192   0.087228   0.912580
  0.000133   0.038338   0.961529
  0.000133   0.057806   0.942061
  0.000163   0.082247   0.917590
  0.000232   0.094001   0.905767
  0.000296   0.124814   0.874890
  0.000416   0.140315   0.859269
  0.000427   0.050574   0.948999
  0.000813   0.108631   0.890557
  0.000656   0.023784   0.975560
  0.001354   0.068993   0.929653
  0.001243   0.030761   0.967996
  0.001299   0.038311   0.960390
  0.000773   0.039728   0.959499
  0.000320   0.034146   0.965534
  0.000126   0.072565   0.927309
  0.000046   0.034337   0.965617
  0.000027   0.051898   0.948075
  0.000017   0.066232   0.933751
  0.000023   0.068424   0.931553
  0.000070   0.094629   0.905301
  0.000269   0.064573   0.935158
  0.000986   0.062301   0.936714
  0.001766   0.072672   0.925562
  0.000650   0.040672   0.958678
  0.000147   0.046555   0.953297
  0.000039   0.078439   0.921522
  0.000018   0.032478   0.967504
  0.000021   0.021524   0.978455
  0.000038   0.063741   0.936221
  0.000082   0.048459   0.951459
  0.000216   0.023654   0.976130
  0.000487   0.049918   0.949594
  0.000502   0.070279   0.929219
  0.000328   0.038186   0.961485
  0.000156   0.065934   0.933910
  0.000100   0.043290   0.956610
  0.000072   0.023047   0.976881
  0.000051   0.049691   0.950258
  0.000043   0.048545   0.951412
  0.000032   0.023675   0.976292
  0.000026   0.046954   0.953021
  0.000019   0.045351   0.954630
  0.000018   0.020338   0.979644
  0.000020   0.024407   0.975574
  0.000028   0.064046   0.935926
  0.000054   0.048347   0.951600
  0.000082   0.022321   0.977597
  0.000122   0.032506   0.967372
  0.000230   0.065683   0.934088
  0.000356   0.058693   0.940951
  0.000453   0.060037   0.939509
  0.000342   0.112630   0.887028
  0.000166   0.045319   0.954516
  0.000100   0.041184   0.958715
  0.000092   0.081614   0.918294
  0.000056   0.014268   0.985676
  0.000047   0.014703   0.985250
  0.000046   0.047482   0.952471
  0.000036   0.018231   0.981732
  0.000031   0.021504   0.978465
  0.000024   0.053251   0.946725
  0.000019   0.021342   0.978639
  0.000018   0.012968   0.987014
  0.000018   0.032088   0.967893
  0.000019   0.054542   0.945439
  0.000023   0.035355   0.964621
  0.000032   0.035542   0.964426
  0.000040   0.020463   0.979497
  0.000040   0.014907   0.985053
  0.000047   0.015584   0.984370
  0.000044   0.009901   0.990055
  0.000038   0.005170   0.994792
  0.000038   0.004439   0.995524
  0.000044   0.009530   0.990426
  0.000051   0.020284   0.979665
  0.000047   0.022055   0.977898
  0.000044   0.015455   0.984501
  0.000050   0.010483   0.989467
  0.000073   0.014095   0.985833
  0.000105   0.026359   0.973536
  0.000161   0.010928   0.988912
  0.000316   0.012629   0.987055
  0.000562   0.034439   0.964999
  0.000594   0.013219   0.986188
  0.000286   0.008943   0.990771
  0.000108   0.021145   0.978748
  0.000062   0.036103   0.963836
  0.000049   0.020680   0.979271
  0.000041   0.014078   0.985882
  0.000039   0.028810   0.971151
  0.000033   0.024838   0.975130
  0.000030   0.020959   0.979011
  0.000032   0.031137   0.968831
  0.000034   0.025450   0.974515
  0.000034   0.019592   0.980373
  0.000037   0.037304   0.962659
  0.000042   0.044355   0.955603
  0.000039   0.026698   0.973263
  0.000049   0.066924   0.933027
  0.000048   0.045800   0.954152
